"VRUS SINCICIAL RESPIRATRIO, IGG E/OU IGM",,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
VRUS ZIKA - IGM (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,112,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
VRUS ZIKA - IGG (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,113,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
WAALER-ROSE (FATOR REUMATIDE),,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
WESTERN BLOT (ANTICORPOS ANTI-HCV),,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
WESTERN BLOT (ANTICORPOS ANTI-HIV),,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
WESTERN BLOT (ANTICORPOS ANTI-HTLV),,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ZAP-70,,,,Seg. Ambulatorial,HCO,HSO,REF,,,IMUNOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ADENOSINA DEAMINASE (ADA),,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
AMINOCIDOS NO LIQUIDO CEFALORRAQUIDIANO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ANTICORPO ANTIESPERMATOZIDE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"BIOQUMICA LCR (PROTENAS + GLICOSE + CLORO; E A CRITRIO DO MDICO ASSISTENTE: LACTATO E LDH -
LACTATO DESIDROGENASE)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CLULAS, CONTAGEM TOTAL E ESPECFICA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CLULAS, PESQUISA DE CLULAS NEOPLSICAS (CITOLOGIA ONCTICA)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CLEMENTS, TESTE",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CRISTAIS COM LUZ POLARIZADA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CRYPTOCOCCUS, ANTGENO, DETECO RPIDA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ELETROFORESE DE PROTENAS NO LQUOR, COM CONCENTRAO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ESPECTROFOTOMETRIA DE LQUIDO AMNITICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ESPERMA, TESTE DE PENETRAO ESPERMTICA, E/OU TESTE DE CAPACITAO ESPERMTICA, E/OU
TESTE HIPOSMTICO (SWELLING TEST), E/OU TESTE DE COLORAO VITAL, E/OU MICROBIOLOGIA
(COLORAO DE GRAM + CULTURA AERBICA), E/OU FRUTOSE, E/OU ALFA-GLUCOSIDASE",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ESPERMOGRAMA (CARACTERES FSICOS, PH, FLUIDIFICAO, MOTILIDADE, VITALIDADE, CONTAGEM E
MORFOLOGIA)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"FOSFOLIPDIOS (RELAO LECITINA/ESFINGOMIELINA), AVALIAO DA MATURIDADE PULMONAR FETAL",,,,Seg. Ambulatorial,HCO,,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"HAEMOPHILUS INFLUENZAE B, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS A, B, C, ANTGENO,
DETECO RPIDA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
NDICE DE IMUNOPRODUO DE IGG (DOSAGEM DE ALBUMINA E IGG EM SORO E LQUOR),,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"LCR, MICROBIOLOGIA (COLORAO DE GRAM + CULTURA AERBICA, AGLUTINAO PELO LTEX PARA
BACTRIAS, E, A CRITRIO DO MDICO ASSISTENTE, PESQUISA E CULTURA DE MICOBACTRIAS E
CRYPTOCOCCUS)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"LCR, ROTINA (ASPECTO, COR, CONTAGEM GLOBAL E ESPECFICA DE LEUCCITOS E HEMCIAS, PROTENA,
GLICOSE, CLORO E, A CRITRIO DO MDICO ASSISTENTE: TESTES TREPONMICOS E NO-TREPONMICOS
DA SFILIS, ELETROFORESE DE PROTENAS COM CONCENTRAO, NDICE DE IMUNOPRODUO DE IGG,
LACTATO, LDH E ANTICORPOS PARA NEUROCISTICERCOSE)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"LQUIDO AMNITICO, CITOLOGIA; LQUIDO AMNITICO, CREATININA.",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
MATURIDADE PULMONAR FETAL - QUALQUER TCNICA,,,,Seg. Ambulatorial,HCO,,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PESQUISA DE BANDAS OLIGOCLONAIS NO LQUOR POR ISOFOCALIZAO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"PROTENA MIELINA BSICA, ANTICORPOS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PUNO LOMBAR COM MANOMETRIA PARA COLETA DE LQUIDO CEFALORRAQUEANO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"RAGCITOS, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ROTINA LQUIDO SINOVIAL - CARACTERES FSICOS, CITOLOGIA, PROTENAS, CIDO RICO, FATOR
REUMATIDE, MICROBIOLOGIA (COLORAO DE GRAM + CULTURA AERBICA E ANAERBICA)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"LQUIDOS (CEFALORRAQUEANO (LQUOR),
SEMINAL, AMNITICO, SINOVIAL E OUTROS)",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ANTIBIOGRAMA (TESTE DE SENSIBILIDADE A ANTIBITICOS E QUIMIOTERPICOS) PARA MICOBACTRIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ANTIBIOGRAMA (TESTE SENSIBILIDADE A ANTIBITICOS E QUIMIOTERPICOS), PARA BACTRIAS
ANAERBICAS E/OU AERBICAS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ANTIFUNGIGRAMA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"B.A.A.R. (BACILO LCOOL-CIDO RESISTENTE), PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"BACILO DE HANSEN, PESQUISA PCR",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"BACTERIOSCOPIA, PELO MTODO DE GRAM OU SIMILAR",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"BORDETELLA PERTUSSIS, CULTURA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CHLAMYDIA, CULTURA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CRYPTOCOCCUS NEOFORMANS, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CRYPTOCOCCUS NEOFORMANS, PESQUISA DO ANTGENO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"CRYPTOSPORIDIUM, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA BACTERIANA (EM DIVERSOS MATERIAIS BIOLGICOS),,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA BACTERIANA QUANTITATIVA (EM DIVERSOS MATERIAIS BIOLGICOS),,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CULTURA DE FEZES, INCLUI PROCEDIMENTOS PARA ISOLAMENTO E IDENTIFICAO DE: SALMONELLA,
SHIGELLA, ESCHERICHIA COLI (ENTEROPATOGNICA, ENTEROINVASORA E ENTERO-HEMORRGICA) E
CAMPYLOBACTER",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA DE URINA COM CONTAGEM DE COLNIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA PARA BACTRIAS ANAERBICAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA PARA BACTRIAS COM SISTEMA AUTOMATIZADO DE IDENTIFICAO BACTERIANA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA PARA FUNGOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CULTURA PARA MICOBACTRIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CULTURA PARA VRUS: ENTEROVRUS, HERPESVRUS, VRUS INFLUENZA A & B, VRUS PARAINFLUENZA TIPOS
1, 2, 3, ADENOVRUS, VRUS VARICELA-ZOSTER, CITOMEGALOVRUS, E VRUS SINCICIAL RESPIRATRIO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ESTREPTOCOCO DO GRUPO A, DETECO RPIDA DE ANTGENO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
EXAME MICROSCPICO DIRETO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"FILRIA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"FUNGOS, EXAME MICROSCPICO DIRETO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
HEMOCULTURA AUTOMATIZADA PARA BACTRIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
HEMOCULTURA PARA BACTRIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"LEISHMANIA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"LEPTOSPIRA, MICROSCOPIA DE CAMPO ESCURO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"MICOPLASMA E UREAPLASMA, CULTURA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"MICROSPORDIA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"PARACOCCIDIOIDES, PESQUISA DE",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"PLASMDIO, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"PNEUMOCYSTI CARINII, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"ROTAVRUS, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"SARCOPTES SCABIEI, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"SENSIBILIDADE AOS ANTIBITICOS E QUIMIOTERPICOS POR MTODO DA CONCENTRAO INIBITRIA
MNIMA (MIC)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
TESTE RPIDO PARA DETECO DE HIV EM GESTANTE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"TREPONEMA PALLIDUM, MICROSCOPIA DE CAMPO ESCURO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"TRYPANOSOMA CRUZII, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"VIBRIO CHOLERAE, CULTURA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,MICROBIOLOGIA,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
CIDO HOMOGENTSICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ALCAPTONRIA - PESQUISA E/OU DOSAGEM NA URINA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CLCULOS URINRIOS, ANLISE QUMICA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CATECOLAMINAS URINRIAS, FRACIONAMENTO (DOPAMINA, EPINEFRINA, NOREPINEFRINA)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CISTINA, PESQUISA E/OU DOSAGEM",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CISTINRIA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"COPROPORFIRINAS URINRIAS, ISMEROS I E III",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"CORPOS CETNICOS, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
"DISMORFISMO ERITROCITRIO, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
ELETROFORESE DE PROTENAS URINRIAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"FENILCETONRIA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"HISTIDINA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"LIPIDES BIRREFRINGENTES, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"MELANINA, PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"METANEFRINAS URINRIAS, DOSAGEM",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
MICROALBUMINRIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"MIOGLOBINA, DOSAGEM OU PESQUISA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
"OSMOLALIDADE, DETERMINAO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
PESQUISA DE SULFATDEOS E MATERIAL METACROMTICO NA URINA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,URINLISE,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNSTICOS E
TERAPUTICOS"
